Darkness|暗闇|Obscurité|Dunkelheit|Oscuridad
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Boden (violett)|Suelo Translúcido
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Boden (Glas)|Suelo Translúcido
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Boden (Eis)|Suelo Translúcido
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Boden (neon)|Suelo Translúcido
Stairs (Translucent)|階段（半透明）|Escalier (translucide)|Durchscheinende Stufen (violett)|Escaleras (Translúcidas)
Stairs (Translucent)|階段（半透明）|Escalier (translucide)|Durchscheinende Stufen (Eis)|Escaleras (Translúcidas)
Wire Mesh|金網|Grillage|Gitterboden|Reja
Transparent|透明|Transparent|Unsichtbar|Transparente
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Absatz (violett)|Suelo Translúcido
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Absatz (Glas)|Suelo Translúcido
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Absatz (Eis)|Suelo Translúcido
Translucent Floor|半透明の床|Sol translucide|Durchscheinender Absatz (neon)|Suelo Translúcido
Stairs (Translucent)|階段（半透明）|Escalier (translucide)|Durchscheinende Stufen (Glas)|Escaleras (Translúcidas)
Stairs (Translucent)|階段（半透明）|Escalier (translucide)|Durchscheinende Stufen (neon)|Escaleras (Translúcidas)
Wire Mesh|金網|Grillage|Absatz Gitterboden|Reja
Ground (Dirt Cave)|床（土洞窟）|Sol (grotte de terre)|Boden (Erdhöhle)|Suelo (Cueva de Tierra)
Ground (Rock Cave)|床（岩洞窟）|Sol (grotte de roche)|Boden (Felshöhle)|Suelo (Cueva de Piedra)
Ground (Lava Cave)|床（溶岩洞窟）|Sol (grotte de lave)|Boden (Lavahöhle)|Suelo (Cueva de Lava)
Ground (Ice Cave)|床（氷洞窟）|Sol (grotte de glace)|Boden (Eishöhle)|Suelo (Cueva de Hielo)
Ground (Grass Maze)|床（草迷宮）|Sol (labyrinthe végétal)|Boden (Pflanzenlabyrinth)|Suelo (Laberinto Verde)
Ground (Crystal)|床（水晶）|Sol (crystal)|Boden (Kristallkaverne)|Suelo (Cristal)
Ground (In Body)|床（体内）|Sol (dans le corps)|Boden (Im Körper des Giganten)|Suelo (Cuerpo Interior)
Ground (Demonic World)|床（魔界）|Sol (monde démoniaque)|Boden (Dämonische Welt)|Suelo (Mundo Demoníaco)
Stairs (Dirt Cave)|階段（土洞窟）|Escalier (grotte de terre)|Treppenstufen links (Erdhöhle)|Escaleras (Cueva de Tierra)
Stairs (Dirt Cave)|階段（土洞窟）|Escalier (grotte de terre)|Treppenstufen mitte (Erdhöhle)|Escaleras (Cueva de Tierra)
Stairs (Dirt Cave)|階段（土洞窟）|Escalier (grotte de terre)|Treppenstufen rechts (Erdhöhle)|Escaleras (Cueva de Tierra)
Stairs (Dirt Cave)|階段（土洞窟）|Escalier (grotte de terre)|Treppenstufen einzeln (Erdhöhle)|Escaleras (Cueva de Tierra)
Stairs (Rock Cave)|階段（岩洞窟）|Escalier (grotte de roche)|Treppenstufen links (Felshöhle)|Escaleras (Cueva de Piedra)
Stairs (Rock Cave)|階段（岩洞窟）|Escalier (grotte de roche)|Treppenstufen mitte (Felshöhle)|Escaleras (Cueva de Piedra)
Stairs (Rock Cave)|階段（岩洞窟）|Escalier (grotte de roche)|Treppenstufen rechts (Felshöhle)|Escaleras (Cueva de Piedra)
Stairs (Rock Cave)|階段（岩洞窟）|Escalier (grotte de roche)|Treppenstufen einzeln (Felshöhle)|Escaleras (Cueva de Piedra)
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Floor (Demon Castle)|床（魔王城）|Sol (château démoniaque)|Boden (Dämonenschloss)|Suelo (Castillo Demoníaco)
Stairs (Lava Cave)|階段（溶岩洞窟）|Escalier (grotte de lave)|Treppenstufen links (Lavahöhle)|Escaleras (Cueva de Lava)
Stairs (Lava Cave)|階段（溶岩洞窟）|Escalier (grotte de lave)|Treppenstufen mitte (Lavahöhle)|Escaleras (Cueva de Lava)
Stairs (Lava Cave)|階段（溶岩洞窟）|Escalier (grotte de lave)|Treppenstufen rechts (Lavahöhle)|Escaleras (Cueva de Lava)
Stairs (Lava Cave)|階段（溶岩洞窟）|Escalier (grotte de lave)|Treppenstufen einzeln (Lavahöhle)|Escaleras (Cueva de Lava)
Stairs (Ice Cave)|階段（氷洞窟）|Escalier (grotte de glace)|Treppenstufen links (Eishöhle)|Escaleras (Cueva de Hielo)
Stairs (Ice Cave)|階段（氷洞窟）|Escalier (grotte de glace)|Treppenstufen mitte (Eishöhle)|Escaleras (Cueva de Hielo)
Stairs (Ice Cave)|階段（氷洞窟）|Escalier (grotte de glace)|Treppenstufen rechts (Eishöhle)|Escaleras (Cueva de Hielo)
Stairs (Ice Cave)|階段（氷洞窟）|Escalier (grotte de glace)|Treppenstufen einzeln (Eishöhle)|Escaleras (Cueva de Hielo)
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Icy Ground|氷の床|Sol gelé|gefrorener Boden|Suelo Helado
Floor (Factory)|床（工場）|Sol (usine)|Metallboden|Suelo (Fábrica)
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Cobblestones|石畳|Pavés|Kopfsteinpflaster|Suelo de Calle
Decorative Tile|化粧タイル|Tile décorative|Zierboden|Suelo Decorativo
Stairs (Grass Maze)|階段（草迷宮）|Escalier (labyrinthe végétal)|Treppenstufen links (Pflanzenlabyrinth)|Escaleras (Laberinto Verde)
Stairs (Grass Maze)|階段（草迷宮）|Escalier (labyrinthe végétal)|Treppenstufen mitte (Pflanzenlabyrinth)|Escaleras (Laberinto Verde)
Stairs (Grass Maze)|階段（草迷宮）|Escalier (labyrinthe végétal)|Treppenstufen rechts (Pflanzenlabyrinth)|Escaleras (Laberinto Verde)
Stairs (Grass Maze)|階段（草迷宮）|Escalier (labyrinthe végétal)|Treppenstufen einzeln (Pflanzenlabyrinth)|Escaleras (Laberinto Verde)
Stairs (Crystal)|階段（水晶）|Escalier (crystal)|Treppenstufen links (Kristallkaverne)|Escaleras (Cristal)
Stairs (Crystal)|階段（水晶）|Escalier (crystal)|Treppenstufen mitte (Kristallkaverne)|Escaleras (Cristal)
Stairs (Crystal)|階段（水晶）|Escalier (crystal)|Treppenstufen rechts (Kristallkaverne)|Escaleras (Cristal)
Stairs (Crystal)|階段（水晶）|Escalier (crystal)|Treppenstufen einzeln (Kristallkaverne)|Escaleras (Cristal)
Stairs (In Body)|階段（体内）|Escalier (dans le corps)|Treppenstufen links (Im Körper des Giganten)|Escaleras (Cuerpo Interior)
Stairs (In Body)|階段（体内）|Escalier (dans le corps)|Treppenstufen mitte (Im Körper des Giganten)|Escaleras (Cuerpo Interior)
Stairs (In Body)|階段（体内）|Escalier (dans le corps)|Treppenstufen rechts (Im Körper des Giganten)|Escaleras (Cuerpo Interior)
Stairs (In Body)|階段（体内）|Escalier (dans le corps)|Treppenstufen einzeln (Im Körper des Giganten)|Escaleras (Cuerpo Interior)
Stairs (Demonic World)|階段（魔界）|Escalier (monde démoniaque)|Treppenstufen links (Dämonische Welt)|Escaleras (Mundo Demoníaco)
Stairs (Demonic World)|階段（魔界）|Escalier (monde démoniaque)|Treppenstufen mitte (Dämonische Welt)|Escaleras (Mundo Demoníaco)
Stairs (Demonic World)|階段（魔界）|Escalier (monde démoniaque)|Treppenstufen rechts (Dämonische Welt)|Escaleras (Mundo Demoníaco)
Stairs (Demonic World)|階段（魔界）|Escalier (monde démoniaque)|Treppenstufen einzeln (Dämonische Welt)|Escaleras (Mundo Demoníaco)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen links (Mauerstein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen mitte (Mauerstein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen rechts (Mauerstein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen einzeln (Mauerstein)|Escaleras (Piedra)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen links (Ruine Mauerstein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen mitte (Ruine Mauerstein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen rechts (Ruine Mauerstein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen einzeln (Ruine Mauerstein)|Escaleras (Ruinas)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen links (Zierstein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen mitte (Zierstein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen rechts (Zierstein)|Escaleras (Piedra)
Stairs (Stone)|階段（石）|Escalier (pierre)|Treppenstufen einzeln (Zierstein)|Escaleras (Piedra)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen links (Ruine Zierstein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen mitte (Ruine Zierstein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen rechts (Ruine Zierstein)|Escaleras (Ruinas)
Stairs (Ruins)|階段（廃墟）|Escalier (ruines)|Treppenstufen einzeln (Ruine Zierstein)|Escaleras (Ruinas)
Ground (Dirt Cave)|床（土洞窟）|Sol (grotte de terre)|Boden (Erdhöhle)|Suelo (Cueva de Tierra)
Ground (Rock Cave)|床（岩洞窟）|Sol (grotte de roche)|Boden (Felshöhle)|Suelo (Cueva de Piedra)
Ground (Lava Cave)|床（溶岩洞窟）|Sol (grotte de lave)|Boden (Lavahöhle)|Suelo (Cueva de Lava)
Ground (Ice Cave)|床（氷洞窟）|Sol (grotte de glace)|Boden (Eishöhle)|Suelo (Cueva de Hielo)
Ground (Grass Maze)|床（草迷宮）|Sol (labyrinthe végétal)|Boden (Pflanzenlabyrinth)|Suelo (Laberinto Verde)
Ground (Crystal)|床（水晶）|Sol (crystal)|Boden (Kristallkaverne)|Suelo (Cristal)
Ground (In Body)|床（体内）|Sol (dans le corps)|Boden (Im Körper des Giganten)|Suelo (Cuerpo Interior)
Ground (Demonic World)|床（魔界）|Sol (monde démoniaque)|Boden (Dämonische Welt)|Suelo (Mundo Demoníaco)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Floor (Demon Castle, Ruins)|床（魔王城・廃墟）|Sol (château démoniaque, ruines)|Boden (Dämonenschloss, beschädigt)|Suelo (Castillo Demoníaco, Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Icy Ground|氷の床|Sol gelé|gefrorener Boden|Suelo Helado
Floor (Factory)|床（工場）|Sol (usine)|Metallboden|Suelo (Fábrica)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Cobblestones (Ruins)|石畳（廃墟）|Pavés (ruines)|Kopfsteinpflaster (beschädigt)|Suelo de Calle (Ruinas)
Decorative Tile (Ruins)|化粧タイル（廃墟）|Tile décorative (ruines)|Zierboden (beschädigt)|Suelo Decorativo (Ruinas)
Relief Floor Tile|レリーフ床|Tile au sol de relief|Drachenrelief-Boden|Relieve
